dataset,model_name,feature transformation,accuracy,precision,recall,f1_score,best paramaters,duration
note_booking,multinomial,cv + tf-idf,0.8749594962357471,[0.92872711 0.89059109],[0.71613445 0.97676814],[0.80869235 0.93169112],,3.495539903640747
note_booking,multinomial,cv + tf-idf,0.8752341342140201,[0.92818281 0.89080069],[0.71680672 0.97655501],[0.80891418 0.9317088 ],,7.637714862823486
note_booking,Regression logistique,CV + TF-IDF,0.9140595943997728,[0.91165951 0.94097066],[0.85680672 0.96490356],[0.88338243 0.95278684],{'penalty': 'l2'},388.53156876564026
note_booking,Regression logistique,CV(n-gram) + TF-IDF,0.9167561519265568,[0.9142755  0.94207317],[0.8594958  0.96593371],[0.88603976 0.95385425],{'penalty': 'l2'},71.55212998390199
note_booking,Regression logistique,CV + TF-IDF + SVD,0.9121370288138454,[0.88398841 0.92626426],[0.8202521 0.9544954],[0.85092843 0.94016795],{'penalty': 'l2'},5.74254584312439
note_booking,NB : Naive Bayes,CV + TF-IDF,0.8752341342140201,[0.92818281 0.89080069],[0.71680672 0.97655501],[0.80891418 0.9317088 ],,3.95787525177002
note_booking,NB : Naive Bayes,CV(n-gram) + TF-IDF,0.8999276650036911,[0.8532618 0.9335547],[0.84193277 0.93879436],[0.84755943 0.9361672 ],,1.1010949611663818
note_polarite,Regression logistique,CV + TF-IDF,0.9253320734121326,[0.94668385 0.94938786],[0.87039431 0.98023544],[0.90693758 0.96456508],{'penalty': 'l2'},236.38041806221008
note_polarite,Regression logistique,CV(n-gram) + TF-IDF,0.9204408350555824,[0.94350482 0.94749674],[0.86543848 0.97910603],[0.90278714 0.96304209],{'penalty': 'l2'},86.52762007713318
note_polarite,Regression logistique,CV + TF-IDF + SVD,0.9060150136350372,[0.89464046 0.91896151],[0.78948502 0.96251249],[0.83877983 0.94023296],{'penalty': 'l2'},4.588459014892578
note_polarite,NB : Naive Bayes,CV + TF-IDF,0.8225861527823767,[0.94631518 0.83900243],[0.52984271 0.98788063],[0.67932868 0.90737527],,2.648210048675537
note_polarite,NB : Naive Bayes,CV(n-gram) + TF-IDF,0.8657401374189408,[0.81495883 0.90848508],[0.76772247 0.92971635],[0.79063575 0.9189781 ],,0.976294755935669
